ASIN,内容,_text,_score,_group,_id,sentiment,sentiment_conf,cluster_id
古城,"潮州古府城墙是国内古城墙中保存的比较完整的,登上古城墙,令人心旷神怡， 城外是古代著名桥梁------湘子桥,城内是中国最有名的牌坊街,使人留恋忘返.","潮州古府城墙是国内古城墙中保存的比较完整的,登上古城墙,令人心旷神怡， 城外是古代著名桥梁------湘子桥,城内是中国最有名的牌坊街,使人留恋忘返.",,古城,10,positive,0.9985462427139282,11
古城,古风古韵，很适合喜欢文学气息的人。。。第一次真的没什么感觉，不过如果能够带上一本书，在阳光下靠着城墙看看，也失为一种享受，当然这是后话啦。。拍照的时候很开心，朋友说可以拍出很多不同角度的味道。,古风古韵，很适合喜欢文学气息的人。。。第一次真的没什么感觉，不过如果能够带上一本书，在阳光下靠着城墙看看，也失为一种享受，当然这是后话啦。。拍照的时候很开心，朋友说可以拍出很多不同角度的味道。,,古城,11,positive,0.9959768652915955,5
古城,潮州古城风景,潮州古城风景,,古城,12,positive,0.9756948947906494,4
古城,活着的古城,活着的古城,,古城,13,positive,0.847063422203064,9
古城,潮州城上风景好,潮州城上风景好,,古城,14,positive,0.9895708560943604,19
环境,古城墙周遭景观,古城墙周遭景观,,环境,15,positive,0.9274671077728271,12
古城,古城,古城,,古城,16,negative,0.6816601157188416,9
古城,潮州古城,潮州古城,,古城,17,positive,0.9614651799201965,4
古城,老城墙的味道,老城墙的味道,,古城,18,negative,0.5085225105285645,12
古城,宋代时期的建筑,宋代时期的建筑,,古城,19,positive,0.9213011264801025,12
古城,古色古香,古色古香,,古城,20,negative,0.6079948544502258,5
古城,在潮州古城墙的基础上修缮，风景很好。,在潮州古城墙的基础上修缮，风景很好。,,古城,21,positive,0.997818112373352,12
古城,潮州古府城墙,潮州古府城墙,,古城,22,positive,0.9440414905548096,12
古城,古城墙,古城墙,,古城,23,positive,0.5050233006477356,12
古城,NejBf1,NejBf1,,古城,24,negative,0.8693262338638306,5
牌坊街,牌坊街现在管理比以前好多额，基本上商店都是明码标价，价格也不会太贵，开元寺的那家素菜很好吃，路上的果汁也不错。,牌坊街现在管理比以前好多额，基本上商店都是明码标价，价格也不会太贵，开元寺的那家素菜很好吃，路上的果汁也不错。,,牌坊街,25,positive,0.995337724685669,3
美食,每次来潮州都会来逛一圈，俗话说，到广不到潮，枉费走一趟，来潮州必来牌坊街，强烈推荐，古色古香的一条街，汇集了美食与潮特产。,每次来潮州都会来逛一圈，俗话说，到广不到潮，枉费走一趟，来潮州必来牌坊街，强烈推荐，古色古香的一条街，汇集了美食与潮特产。,,美食,26,positive,0.999290943145752,19
牌坊街,这条牌坊街就在开元寺的附近， 听说由二十多座牌坊一起连成而命名。沿路宽敞，左右都是店舖，可惜店舖卖的东西都大同小异，主要是卖潮州三宝的醃制食品。有一些是卖糖饼的。感觉比较落后，看来还需时间打造。,这条牌坊街就在开元寺的附近， 听说由二十多座牌坊一起连成而命名。沿路宽敞，左右都是店舖，可惜店舖卖的东西都大同小异，主要是卖潮州三宝的醃制食品。有一些是卖糖饼的。感觉比较落后，看来还需时间打造。,,牌坊街,27,positive,0.8148548603057861,3
古城,牌坊街不只是一条街，是一个地区，纵横交错的小巷，处处都有故事。主街头大多是售卖手信和食物的商店，以参观古蹟为目的可走到附近的开元寺和古城墙。,牌坊街不只是一条街，是一个地区，纵横交错的小巷，处处都有故事。主街头大多是售卖手信和食物的商店，以参观古蹟为目的可走到附近的开元寺和古城墙。,,古城,28,positive,0.9878218770027161,7
牌坊街,"感受到牌坊街不同的路段,有不同的风貌较远的还能感受到些民居气息,中心部份则已游客商业化了,都是些千遍一律的工艺品及名产店,不过还是值得来看一下。","感受到牌坊街不同的路段,有不同的风貌较远的还能感受到些民居气息,中心部份则已游客商业化了,都是些千遍一律的工艺品及名产店,不过还是值得来看一下。",,牌坊街,29,positive,0.9959108829498291,7
美食,"拥有众多牌坊是一大特点,还有几口古井,也还留有几家老味道的潮州美味, 但牌坊都是后来刻意重建的水泥建筑群, 已经失去原本历史的价值, 但是街上还是有一些很有历史意义的门匾(例如...司徒世家)很值得一看, 当然还有一些潮味美食值得一试","拥有众多牌坊是一大特点,还有几口古井,也还留有几家老味道的潮州美味, 但牌坊都是后来刻意重建的水泥建筑群, 已经失去原本历史的价值, 但是街上还是有一些很有历史意义的门匾(例如...司徒世家)很值得一看, 当然还有一些潮味美食值得一试",,美食,30,positive,0.9956392049789429,12
牌坊街,从潮汕高铁站去潮州旧城旅游区要乘的士或巴士。我们坐的士看表收费，坐车时发现表的跳动有点乱来，时不时连跳几下，到了牌坊街收费130元人民币。我们离开时坐旅馆介绍的专车往潮汕高铁站，收费是70元。旅馆是由旧建筑内部新装俢而成，品质很好有特色，收费也合理，风格像台湾的民宿。我们到潮州那天是中秋节，民宿主在饮茶的台上请我们吃潮州月饼丶梅州柚，饮潮州茶。游市内很多人坐三轮车，我们也坐了一圈，因很多景点关门了，如许驸马府，另一处看潮州木雕的建筑，所以只坐了半小时，不像大叔说的一小时，车费50元。潮州应该还有一个较现代化的市中心，有大型的酒店，但今次只两天时间，就没有去了。,从潮汕高铁站去潮州旧城旅游区要乘的士或巴士。我们坐的士看表收费，坐车时发现表的跳动有点乱来，时不时连跳几下，到了牌坊街收费130元人民币。我们离开时坐旅馆介绍的专车往潮汕高铁站，收费是70元。旅馆是由旧建筑内部新装俢而成，品质很好有特色，收费也合理，风格像台湾的民宿。我们到潮州那天是中秋节，民宿主在饮茶的台上请我们吃潮州月饼丶梅州柚，饮潮州茶。游市内很多人坐三轮车，我们也坐了一圈，因很多景点关门了，如许驸马府，另一处看潮州木雕的建筑，所以只坐了半小时，不像大叔说的一小时，车费50元。潮州应该还有一个较现代化的市中心，有大型的酒店，但今次只两天时间，就没有去了。,,牌坊街,31,positive,0.9998165965080261,14
美食,在广济门不远处，是一条小食手信街，也就是游客必到的古牌坊街，除了即场吃的手垂牛丸和各式潮州美食，还有可以买回家才吃的花生糖和糕饼甜点。位于十字路口的百年老字号权记，花生糖即做即包即卖，拿上手时，糖还是微暖的，新鲜程度十足，可能系潮州最好食既花生糖。另一家厚记小食，同是比较多游客光顾的店，看见有味道不错的脆麻花。,在广济门不远处，是一条小食手信街，也就是游客必到的古牌坊街，除了即场吃的手垂牛丸和各式潮州美食，还有可以买回家才吃的花生糖和糕饼甜点。位于十字路口的百年老字号权记，花生糖即做即包即卖，拿上手时，糖还是微暖的，新鲜程度十足，可能系潮州最好食既花生糖。另一家厚记小食，同是比较多游客光顾的店，看见有味道不错的脆麻花。,,美食,32,positive,0.9997639060020447,1
牌坊街,"名牌坊街可以说是潮州城内的重要景点, 位置就在开元寺旁. 列有一个个古代潮州的大官及进士, 十步一个, 可见潮州人杰地灵.现在牌坊街光鲜阔大, 不少特色店铺进驻, 已成游客区. 不过依然吸引我的是每个小巷藏着的小贩地档与地道小食. 铁板拉肠, 炸油器, 潮州粿, 甜品等. 每样都十分好味，","名牌坊街可以说是潮州城内的重要景点, 位置就在开元寺旁. 列有一个个古代潮州的大官及进士, 十步一个, 可见潮州人杰地灵.现在牌坊街光鲜阔大, 不少特色店铺进驻, 已成游客区. 不过依然吸引我的是每个小巷藏着的小贩地档与地道小食. 铁板拉肠, 炸油器, 潮州粿, 甜品等. 每样都十分好味，",,牌坊街,33,positive,0.9996284246444702,4
古城,潮州的牌坊街较福洲的三坊七巷知名度小， 但是牌坊间到处有知名的潮州小吃， 吃的方面较福州的三坊七巷 方便多了， 排坊巷弄也不少， 就在古城墙附近， 值得一游。,潮州的牌坊街较福洲的三坊七巷知名度小， 但是牌坊间到处有知名的潮州小吃， 吃的方面较福州的三坊七巷 方便多了， 排坊巷弄也不少， 就在古城墙附近， 值得一游。,,古城,34,positive,0.9989147186279297,1
牌坊街,本来想来这里感受一下那种历史的感觉，但是来到以后让我感觉挺失望的。牌坊街翻新过，牌坊也许模样没有太大变化，但是那种历史的感觉已经荡然无存。而且牌坊街商业化比较严重，这里的店铺里的潮州菜不仅贵，而且量少、味差，不建议在这里吃东西。,本来想来这里感受一下那种历史的感觉，但是来到以后让我感觉挺失望的。牌坊街翻新过，牌坊也许模样没有太大变化，但是那种历史的感觉已经荡然无存。而且牌坊街商业化比较严重，这里的店铺里的潮州菜不仅贵，而且量少、味差，不建议在这里吃东西。,,牌坊街,35,negative,0.9917540550231934,3
牌坊街,傍晚我从韩山搭车到市区，我让师傅载我到有特色小吃的地方，没想到刚过了韩江大桥他就放下我。随后我走进了一条街，两边都是卖小吃、茶叶、手信的小店，当我正奇怪这条不大的街为什么这么长的时候，我意识到这就是牌坊街，果然走着走着就到了广济楼，看到了广济桥，感慨缘分，这种不靠电子产品的路程充满了意外的惊喜。,傍晚我从韩山搭车到市区，我让师傅载我到有特色小吃的地方，没想到刚过了韩江大桥他就放下我。随后我走进了一条街，两边都是卖小吃、茶叶、手信的小店，当我正奇怪这条不大的街为什么这么长的时候，我意识到这就是牌坊街，果然走着走着就到了广济楼，看到了广济桥，感慨缘分，这种不靠电子产品的路程充满了意外的惊喜。,,牌坊街,36,positive,0.9990336894989014,3
美食,牌坊街算比较有历史底蕴的一条街，人不多。整条牌坊街都是奸商，所有东西都比牌坊街外的贵好多，味道也非常一般，想吃小吃的建议不要在牌坊街一带吃，可以到市区去吃，各种小吃，牛肉火锅，烧鹅都比牌坊街便宜多了，味道也更正。,牌坊街算比较有历史底蕴的一条街，人不多。整条牌坊街都是奸商，所有东西都比牌坊街外的贵好多，味道也非常一般，想吃小吃的建议不要在牌坊街一带吃，可以到市区去吃，各种小吃，牛肉火锅，烧鹅都比牌坊街便宜多了，味道也更正。,,美食,37,negative,0.9956379532814026,3
牌坊街,个人感觉牌坊街十分有特色，有股历史的味道。牌坊街上有卖很多小工艺品，蛮有趣的。不过我不建议在牌坊街吃东西，感觉这的店都是针对游客的。我在这里吃过牛肉丸稞条，真心不好吃，正宗的根本就不是这样。大家可以四处串串，我感觉好的店总是藏在小巷里。,个人感觉牌坊街十分有特色，有股历史的味道。牌坊街上有卖很多小工艺品，蛮有趣的。不过我不建议在牌坊街吃东西，感觉这的店都是针对游客的。我在这里吃过牛肉丸稞条，真心不好吃，正宗的根本就不是这样。大家可以四处串串，我感觉好的店总是藏在小巷里。,,牌坊街,38,positive,0.9809181690216064,3
美食,牌坊街晚上亮灯之后比白天好看多了，很多咖啡馆，很多明清及民国风格建筑和骑楼，蛮特别的，而且小吃店比较集中，对于不熟悉潮州又想品尝地道美食的游客来说还是不错的选择,牌坊街晚上亮灯之后比白天好看多了，很多咖啡馆，很多明清及民国风格建筑和骑楼，蛮特别的，而且小吃店比较集中，对于不熟悉潮州又想品尝地道美食的游客来说还是不错的选择,,美食,39,positive,0.9991577863693237,1
古城,潮州古城是游客区，所以同好多名胜地点一样，早已经把周边的街道粉饰得靓靓，对某部份游客来说，突意造出来的景点一定不会喜欢，但有时候，景点的本身早已经是日久失修的建筑群，重点地粉饰一下，其实又不是一件太坏的事。这一条《牌坊街》顾名思义是由一大堆牌坊组成，基本上每10多米的路，就有一个由不同人士捐建的牌坊，甚有特色。这，是一条很商业化的游客街，之不过我们来的时候是平日， 人不多，店舖亦没有全开，再者下普细雨，所以，我们看不到《牌坊街》繁华的一面。幸好，大部份的店舖都是特色手信同地道的食店，总好过北方古城般，把旧城区变成酒吧街......,潮州古城是游客区，所以同好多名胜地点一样，早已经把周边的街道粉饰得靓靓，对某部份游客来说，突意造出来的景点一定不会喜欢，但有时候，景点的本身早已经是日久失修的建筑群，重点地粉饰一下，其实又不是一件太坏的事。这一条《牌坊街》顾名思义是由一大堆牌坊组成，基本上每10多米的路，就有一个由不同人士捐建的牌坊，甚有特色。这，是一条很商业化的游客街，之不过我们来的时候是平日， 人不多，店舖亦没有全开，再者下普细雨，所以，我们看不到《牌坊街》繁华的一面。幸好，大部份的店舖都是特色手信同地道的食店，总好过北方古城般，把旧城区变成酒吧街......,,古城,40,positive,0.9993686079978943,4
牌坊街,说是牌坊街，其实就是步行街，像其他城市一样，沿路都是推销地方特产和小商品的，只是修得比较古朴一点。里面有一间卖潮绣的和胡荣泉点心店挺不错的，可看可吃的东西较多。,说是牌坊街，其实就是步行街，像其他城市一样，沿路都是推销地方特产和小商品的，只是修得比较古朴一点。里面有一间卖潮绣的和胡荣泉点心店挺不错的，可看可吃的东西较多。,,牌坊街,41,positive,0.9966325163841248,3
古城,昨晚百万大军“攻打”潮州城，城内牛肉等粮草告急，急需汕头、揭阳等城支援，,昨晚百万大军“攻打”潮州城，城内牛肉等粮草告急，急需汕头、揭阳等城支援，,,古城,42,positive,0.9725606441497803,5
商铺,总书记来到潮州古城，看商铺、问物价，同当地群众亲切交流，这样的场景真的大爱，赞，,总书记来到潮州古城，看商铺、问物价，同当地群众亲切交流，这样的场景真的大爱，赞，,,商铺,43,positive,0.9981240630149841,19
古城,如果你问我广东周末周边游去哪里，那我一定会推荐你去潮州。这是一座值得慢慢感受的古城,如果你问我广东周末周边游去哪里，那我一定会推荐你去潮州。这是一座值得慢慢感受的古城,,古城,44,positive,0.9948892593383789,11
古城,习近平：起而行之 继续把潮州建设好,习近平：起而行之 继续把潮州建设好,,古城,45,positive,0.9923050999641418,5
古城,中国最神奇的古桥，白天正常通行，晚上断成两截，开开合合800多年，,中国最神奇的古桥，白天正常通行，晚上断成两截，开开合合800多年，,,古城,46,negative,0.9154884815216064,11
古城,潮州古城告急，十万人夜袭广济门楼，牌坊街人潮汹涌,潮州古城告急，十万人夜袭广济门楼，牌坊街人潮汹涌,,古城,47,positive,0.5279328227043152,8
古城,潮州古城,潮州古城,,古城,48,positive,0.9614651799201965,4
古城,潮州节假日新景——攻城门,潮州节假日新景——攻城门,,古城,49,positive,0.977830708026886,15
古城,十一“攻城”,十一“攻城”,,古城,50,positive,0.9752817749977112,5
古城,潮州古城烟火色,潮州古城烟火色,,古城,51,positive,0.8776700496673584,5
古城,中国古桥广济桥，现实版的“过河拆桥”，长见识了，,中国古桥广济桥，现实版的“过河拆桥”，长见识了，,,古城,52,negative,0.9867066740989685,11
古城,潮州古城，广济桥灯光秀第一波攻城游客已到达,潮州古城，广济桥灯光秀第一波攻城游客已到达,,古城,53,positive,0.996193528175354,8
古城,潮州古城一日游攻略,潮州古城一日游攻略,,古城,54,positive,0.9354696273803711,10
古城,计划去潮州的收藏,计划去潮州的收藏,,古城,55,positive,0.9901173710823059,5
古城,潮州古城丨总要去趟潮州看看吧,潮州古城丨总要去趟潮州看看吧,,古城,56,positive,0.9834348559379578,19
古城,“繁华外，市井处，古镇里最是人间 慢品人间烟火色，闲观万事岁月长”,“繁华外，市井处，古镇里最是人间 慢品人间烟火色，闲观万事岁月长”,,古城,57,positive,0.9861223101615906,5
古城,潮州广济桥灯光秀，新“凤城之光”新版灯光秀已上线，比以前美太多了，赶紧来体验一下潮州古城大型户外蹦迪现场吧，,潮州广济桥灯光秀，新“凤城之光”新版灯光秀已上线，比以前美太多了，赶紧来体验一下潮州古城大型户外蹦迪现场吧，,,古城,58,positive,0.9937500357627869,8
古城,潮州古城,潮州古城,,古城,59,positive,0.9614651799201965,4
古城,去哪儿不重要重要的是有你们,去哪儿不重要重要的是有你们,,古城,60,positive,0.9675460457801819,5
牌坊街,牌坊街,牌坊街,,牌坊街,61,positive,0.8397529721260071,14
古城,潮州古城,潮州古城,,古城,62,positive,0.9614651799201965,4
古城,总要去趟潮州吧，感受古城的浪漫,总要去趟潮州吧，感受古城的浪漫,,古城,63,positive,0.9986321330070496,19
古城,夕阳西下华灯初起的潮州古城是一天中最让人陶醉的，天空只留下一片蓝色，和黄色的灯光一起，可以拍出很美很温柔的傍晚蓝调风格的照片，  比厦门古老，比广州低调，这才是冷门宝藏地它从来不上热门，却比凤凰、丽江还要古老。没有景区的熙熙攘攘，七百多条老街，700多处古迹，格局永久。它没有西安、南京的光环，却也有全国最好、最久的城门楼。它没有广州、厦门的热闹，却有最丰富的民俗。,夕阳西下华灯初起的潮州古城是一天中最让人陶醉的，天空只留下一片蓝色，和黄色的灯光一起，可以拍出很美很温柔的傍晚蓝调风格的照片，  比厦门古老，比广州低调，这才是冷门宝藏地它从来不上热门，却比凤凰、丽江还要古老。没有景区的熙熙攘攘，七百多条老街，700多处古迹，格局永久。它没有西安、南京的光环，却也有全国最好、最久的城门楼。它没有广州、厦门的热闹，却有最丰富的民俗。,,古城,64,positive,0.9995507597923279,11
文化,一座南方历史文化名城，亿万海外游子的根,一座南方历史文化名城，亿万海外游子的根,,文化,65,positive,0.9910255074501038,9
古城,潮州古城夜景,潮州古城夜景,,古城,66,positive,0.9724365472793579,8
古城,潮州古城夜色,潮州古城夜色,,古城,67,positive,0.9525103569030762,8
古城,潮州旅行需要多少钱附古城游玩手绘地图,潮州旅行需要多少钱附古城游玩手绘地图,,古城,68,positive,0.9646201729774475,19
古城,总要去趟潮州吧 走走广济桥|逛逛牌坊街 和喜欢的人一起感受来自古城的浪漫,总要去趟潮州吧 走走广济桥|逛逛牌坊街 和喜欢的人一起感受来自古城的浪漫,,古城,69,positive,0.9946380257606506,19
古城,潮州牌坊街古城夜景灯光秀,潮州牌坊街古城夜景灯光秀,,古城,70,positive,0.986543595790863,8
古城,潮州广济桥,潮州广济桥,,古城,71,positive,0.9739562273025513,15
古城,潮州旅游怎么玩熬夜整理全套攻略，,潮州旅游怎么玩熬夜整理全套攻略，,,古城,72,positive,0.9914072155952454,19
古城,来潮州就一定要来潮州古城，看看这里的断桥灯光秀，不过8点的灯光秀没有周六周日9点的美。,来潮州就一定要来潮州古城，看看这里的断桥灯光秀，不过8点的灯光秀没有周六周日9点的美。,,古城,73,positive,0.9701083302497864,8
古城,总要来趟潮州，看看潮州的夜景,总要来趟潮州，看看潮州的夜景,,古城,74,positive,0.9982668161392212,8
古城,潮州古城现在每逢假期都会上演“攻城记”，，人山人海，热闹非凡，,潮州古城现在每逢假期都会上演“攻城记”，，人山人海，热闹非凡，,,古城,75,positive,0.9834260940551758,2
文化,点亮潮州，打卡古城之美。,点亮潮州，打卡古城之美。,,文化,76,positive,0.9911379218101501,19
古城,原来潮州古城一点都不古，外地游客被欺骗了多少年，哈哈,原来潮州古城一点都不古，外地游客被欺骗了多少年，哈哈,,古城,77,negative,0.9723876118659973,4
古城,吃不完逛不停，在潮州古城，没有一个胃能空着回去，,吃不完逛不停，在潮州古城，没有一个胃能空着回去，,,古城,78,positive,0.9992533326148987,13
文化,一个不用百圆就能满足你“吃不了兜着走”的地方，你来过吗潮州“牌坊街”，有着一千多年的古老记载，历史悠久，夜景撩人，休闲打卡的好景点,一个不用百圆就能满足你“吃不了兜着走”的地方，你来过吗潮州“牌坊街”，有着一千多年的古老记载，历史悠久，夜景撩人，休闲打卡的好景点,,文化,79,positive,0.9995417594909668,4
古城,,,,古城,80,negative,0.8425360918045044,5
古城,都说潮州古城牌坊街，太过于商业化了，其实商业化也是顺应时代，不商业化谁会去开发景区呢欢迎评论区留言。,都说潮州古城牌坊街，太过于商业化了，其实商业化也是顺应时代，不商业化谁会去开发景区呢欢迎评论区留言。,,古城,81,positive,0.9835038185119629,3
文化,潮州广济桥灯光秀全新改版，新：“凤城之光”上线，来潮州古城必打卡景点，大家觉得对比旧版本，感觉如何大家评论区见，,潮州广济桥灯光秀全新改版，新：“凤城之光”上线，来潮州古城必打卡景点，大家觉得对比旧版本，感觉如何大家评论区见，,,文化,82,positive,0.9812964797019958,8
美食,总要来一趟潮州吧，看看潮州古城，走走牌坊街，看看广济桥，品尝下潮州美食，,总要来一趟潮州吧，看看潮州古城，走走牌坊街，看看广济桥，品尝下潮州美食，,,美食,83,positive,0.9987385869026184,19
古城,国庆节假期来潮州古城看人头,国庆节假期来潮州古城看人头,,古城,84,positive,0.9872318506240845,15
文化,从深圳驾车300多公里到潮州古城，广济楼打卡，感受1600多年潮州古城历史，,从深圳驾车300多公里到潮州古城，广济楼打卡，感受1600多年潮州古城历史，,,文化,85,positive,0.9962897300720215,11
古城,"千年古城——""潮州""，一座最适合晚上来逛的城市，这人流震撼不震撼","千年古城——""潮州""，一座最适合晚上来逛的城市，这人流震撼不震撼",,古城,86,positive,0.9934844374656677,8
文化,潮州，一座有着两千多年历史的文化古城，三山环抱，韩江如带，文脉连绵，底蕴深厚。近日，英国博主亚当来到潮州，走广济桥、上广济楼、逛牌坊街、品工夫茶、尝潮州菜，探访这里悠久、丰富、有趣的历史文化和传统民俗。（视频来源：新华屏媒）,潮州，一座有着两千多年历史的文化古城，三山环抱，韩江如带，文脉连绵，底蕴深厚。近日，英国博主亚当来到潮州，走广济桥、上广济楼、逛牌坊街、品工夫茶、尝潮州菜，探访这里悠久、丰富、有趣的历史文化和传统民俗。（视频来源：新华屏媒）,,文化,87,positive,0.9985748529434204,2
古城,潮州古城现在每逢假期都会上演“攻城记”，，人山人海，热闹非凡，,潮州古城现在每逢假期都会上演“攻城记”，，人山人海，热闹非凡，,,古城,88,positive,0.9834260940551758,2
古城,"""非""理性旅游评价，秉持着对比别的地方的心态评价的，如果你觉得好吃好玩那就是你对，勿喷，祝福。 想去潮州古城的看过来，视频后面附上了一些碎碎念，一定要看看哦～","""非""理性旅游评价，秉持着对比别的地方的心态评价的，如果你觉得好吃好玩那就是你对，勿喷，祝福。 想去潮州古城的看过来，视频后面附上了一些碎碎念，一定要看看哦～",,古城,89,positive,0.9918224215507507,13
文化,打卡潮州古城牌坊街夜色配上汉服巡游活动，,打卡潮州古城牌坊街夜色配上汉服巡游活动，,,文化,90,positive,0.9927237629890442,8
古城,粤奇胜电气带您一起探寻最有人间烟火味的少年潮州古城，,粤奇胜电气带您一起探寻最有人间烟火味的少年潮州古城，,,古城,91,positive,0.9875982403755188,5
文化,潮州历史古城（牌坊街）繁华的夜景，等你来打卡……,潮州历史古城（牌坊街）繁华的夜景，等你来打卡……,,文化,92,positive,0.9973202347755432,8
文化,打卡国庆节假期第三天的潮州古城，,打卡国庆节假期第三天的潮州古城，,,文化,93,positive,0.9936997890472412,10
古城,潮州古城公共停车场，必须消费500才能停，当我水鱼，变相营销捆绑消费，合理吗,潮州古城公共停车场，必须消费500才能停，当我水鱼，变相营销捆绑消费，合理吗,,古城,94,negative,0.971916139125824,14
文化,潮州“牌坊街”，广济桥是中国古老的四大名桥之一，俗称湘子桥，有着一千多年的古老记载，历史悠久，夜景撩人，休闲打卡的好景点,潮州“牌坊街”，广济桥是中国古老的四大名桥之一，俗称湘子桥，有着一千多年的古老记载，历史悠久，夜景撩人，休闲打卡的好景点,,文化,95,positive,0.9996316432952881,11
古城,潮州古城，有着三千多年历史，自古为潮汕地区首府，粤东首邑，是韩江之滨的吴楚重镇,潮州古城，有着三千多年历史，自古为潮汕地区首府，粤东首邑，是韩江之滨的吴楚重镇,,古城,96,positive,0.9937677383422852,11
文化,打卡国庆节假期第7天的潮州古城牌坊街,打卡国庆节假期第7天的潮州古城牌坊街,,文化,97,positive,0.9766889810562134,10
